attack_type,attack_method,num_rows,breach_rate_pct,impact_mean
dodging_attack,SI_NI_FGSM,240,37.083333333333336,0.22276259879043878
dodging_attack,MI_FGSM,240,35.0,0.2079922221577021
dodging_attack,MI_ADMIX_DI_TI,240,29.583333333333332,0.18697816684523322
dodging_attack,TI_FGSM,240,26.25,0.15944328767109658
dodging_attack,PGD,240,21.666666666666668,0.12357486876415141
impersonation_attack,SI_NI_FGSM,240,21.25,0.12833384948299648
impersonation_attack,MI_ADMIX_DI_TI,240,18.75,0.12000073289306504
impersonation_attack,MI_FGSM,240,18.333333333333332,0.12066238803672844
impersonation_attack,TI_FGSM,240,14.583333333333334,0.10321453290358858
impersonation_attack,PGD,240,11.666666666666666,0.07702392172201179
