attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
VGG-Face,Facenet512,TI_FGSM,30,40.0,0.3337762062741849
VGG-Face,Facenet512,PGD,30,33.33333333333333,0.27670036621356464
VGG-Face,GhostFaceNet,MI_ADMIX_DI_TI,30,36.666666666666664,0.1135031439410555
VGG-Face,GhostFaceNet,MI_FGSM,30,36.666666666666664,0.11894421635351983
VGG-Face,GhostFaceNet,SI_NI_FGSM,30,36.666666666666664,0.10871599198166655
VGG-Face,GhostFaceNet,TI_FGSM,30,30.0,0.09500915958252305
VGG-Face,GhostFaceNet,PGD,30,23.333333333333332,0.08424892026449905
VGG-Face,IR152,MI_ADMIX_DI_TI,30,16.666666666666664,0.19781875247905284
VGG-Face,IR152,SI_NI_FGSM,30,13.333333333333334,0.1595053083480685
VGG-Face,IR152,MI_FGSM,30,10.0,0.17281812230116703
VGG-Face,IR152,PGD,30,3.3333333333333335,0.09373842330584788
VGG-Face,IR152,TI_FGSM,30,0.0,0.13719049829702923
